Datatype,Source,Target,Product,Valuetype,Year,Value,
Detailed trade matrix,Afghanistan,Pakistan,Cattle,Import Quantity (Head),2011,24.0,
Detailed trade matrix,Albania,Austria,Cattle,Import Quantity (Head),2011,94.0,
Detailed trade matrix,Albania,Bulgaria,Cattle,Import Quantity (Head),2011,22105.0,
Detailed trade matrix,Albania,Denmark,Cattle,Import Quantity (Head),2011,45.0,
Detailed trade matrix,Albania,Germany,Cattle,Import Quantity (Head),2011,32.0,
Detailed trade matrix,Albania,Greece,Cattle,Import Quantity (Head),2011,13.0,
Detailed trade matrix,Albania,Ireland,Cattle,Import Quantity (Head),2011,115.0,
Detailed trade matrix,Albania,Italy,Cattle,Import Quantity (Head),2011,1549.0,
Detailed trade matrix,Albania,Netherlands,Cattle,Import Quantity (Head),2011,34.0,
Detailed trade matrix,Albania,Romania,Cattle,Import Quantity (Head),2011,154.0,
Detailed trade matrix,Albania,Serbia,Cattle,Import Quantity (Head),2011,626.0,
Detailed trade matrix,Albania,Slovakia,Cattle,Import Quantity (Head),2011,90.0,
Detailed trade matrix,Albania,The former Yugoslav Republic of Macedonia,Cattle,Import Quantity (Head),2011,7768.0,
Detailed trade matrix,Algeria,Austria,Cattle,Import Quantity (Head),2011,2447.0,
Detailed trade matrix,Algeria,Brazil,Soybeans,Import Quantity (tonnes),2011,24.0,
Detailed trade matrix,Algeria,China,Soybeans,Import Quantity (tonnes),2011,15.0,
Detailed trade matrix,Algeria,"China, mainland",Soybeans,Import Quantity (tonnes),2011,15.0,
Detailed trade matrix,Algeria,France,Cattle,Import Quantity (Head),2011,98640.0,
Detailed trade matrix,Algeria,Germany,Cattle,Import Quantity (Head),2011,8252.0,
Detailed trade matrix,Algeria,India,Soybeans,Import Quantity (tonnes),2011,5.0,
Detailed trade matrix,Algeria,Ireland,Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Algeria,Japan,Soybeans,Import Quantity (tonnes),2011,5.0,*
Detailed trade matrix,Algeria,Netherlands,Cattle,Import Quantity (Head),2011,1075.0,
Detailed trade matrix,Algeria,Republic of Korea,Soybeans,Import Quantity (tonnes),2011,2.0,
Detailed trade matrix,Algeria,Spain,Cattle,Import Quantity (Head),2011,391.0,
Detailed trade matrix,Antigua and Barbuda,United States of America,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Argentina,Argentina,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Argentina,Belgium,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Argentina,Brazil,Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Argentina,Canada,Soybeans,Import Quantity (tonnes),2011,2.0,
Detailed trade matrix,Argentina,Chile,Cattle,Import Quantity (Head),2011,90.0,
Detailed trade matrix,Argentina,Paraguay,Soybeans,Import Quantity (tonnes),2011,12576.0,
Detailed trade matrix,Argentina,United States of America,Soybeans,Import Quantity (tonnes),2011,276.0,
Detailed trade matrix,Argentina,Unspecified,Soybeans,Import Quantity (tonnes),2011,4.0,
Detailed trade matrix,Argentina,Uruguay,Cattle,Import Quantity (Head),2011,611.0,
Detailed trade matrix,Argentina,Uruguay,Soybeans,Import Quantity (tonnes),2011,3.0,
Detailed trade matrix,Armenia,Austria,Cattle,Import Quantity (Head),2011,99.0,
Detailed trade matrix,Armenia,Denmark,Cattle,Import Quantity (Head),2011,200.0,
Detailed trade matrix,Armenia,France,Soybeans,Import Quantity (tonnes),2011,2.0,
Detailed trade matrix,Armenia,Georgia,Cattle,Import Quantity (Head),2011,340.0,
Detailed trade matrix,Armenia,Germany,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Armenia,Iran (Islamic Republic of),Cattle,Import Quantity (Head),2011,50.0,
Detailed trade matrix,Armenia,Unspecified,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Aruba,China,Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Aruba,"China, Hong Kong SAR",Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Aruba,"China, mainland",Soybeans,Import Quantity (tonnes),2011,0.0,
Detailed trade matrix,Aruba,Netherlands,Cattle,Import Quantity (Head),2011,10.0,*
Detailed trade matrix,Aruba,Netherlands Antilles,Cattle,Import Quantity (Head),2011,6.0,*
Detailed trade matrix,Aruba,United States of America,Soybeans,Import Quantity (tonnes),2011,1.0,
Detailed trade matrix,Australia,China,Soybeans,Import Quantity (tonnes),2011,1114.0,
Detailed trade matrix,Australia,"China, mainland",Soybeans,Import Quantity (tonnes),2011,1112.0,
Detailed trade matrix,Australia,"China, Taiwan Province of",Soybeans,Import Quantity (tonnes),2011,2.0,
Detailed trade matrix,Australia,Japan,Soybeans,Import Quantity (tonnes),2011,47.0,
Detailed trade matrix,Australia,Malaysia,Soybeans,Import Quantity (tonnes),2011,1.0,
